tag	total	roms	images
1984-01-04	4	0	4
1998-06-15	4	0	4
1998-07-31	4	0	4
1999-08-19	4	0	4
1999-09-04	4	0	4
2000-07-18	4	0	4
2022-10-31	4	4	0
2022-11-01	4	4	0
1983-05-02	3	0	3
1983-11-21	3	0	3
1996-02-05	3	0	3
1996-09-24	3	0	3
1998-07-30	3	0	3
1999-08-07	3	0	3
1999-09-22	3	0	3
1999-10-26	3	0	3
2000-01-17	3	0	3
2017-04-21	3	3	0
2022-09-01	3	3	0
2023-05-20	3	3	0
1983-01-20	2	0	2
1983-04-07	2	0	2
1983-06-03	2	0	2
1983-09-14	2	0	2
1983-09-20	2	0	2
1983-10-13	2	0	2
1984-01-05	2	0	2
1984-01-13	2	0	2
1984-03-15	2	0	2
1986-06-30	2	1	1
1989-02-23	2	1	1
1989-05-29	2	1	1
1989-12-22	2	1	1
1990-01-18	2	1	1
1990-03-02	2	1	1
1990-03-07	2	1	1
1990-07-04	2	1	1
1990-08-02	2	1	1
1990-08-20	2	1	1
1990-08-23	2	1	1
1990-08-30	2	1	1
1990-09-10	2	1	1
1990-12-28	2	0	2
1991-01-31	2	1	1
1991-04-22	2	1	1
1991-05-06	2	1	1
1991-05-16	2	1	1
1992-08-27	2	1	1
1992-12-10	2	0	2
1993-02-17	2	0	2
1993-05-28	2	2	0
1994-05-30	2	0	2
1994-10-07	2	0	2
1995-04-24	2	0	2
1995-06-12	2	0	2
1995-09-07	2	0	2
1995-09-21	2	0	2
1995-10-03	2	0	2
1995-10-25	2	0	2
1996-02-02	2	0	2
1996-04-11	2	0	2
1996-07-16	2	0	2
1996-11-08	2	0	2
1997-10-31	2	0	2
1998-02-12	2	0	2
1998-02-20	2	0	2
1998-03-10	2	0	2
1998-05-07	2	0	2
1998-06-22	2	0	2
1998-07-16	2	0	2
1998-07-22	2	0	2
1998-12-11	2	0	2
1999-02-03	2	0	2
1999-02-22	2	0	2
1999-09-19	2	0	2
1999-10-07	2	0	2
1999-11-02	2	0	2
2000-02-18	2	0	2
2000-03-22	2	0	2
2000-04-27	2	0	2
2000-06-06	2	0	2
2000-07-10	2	0	2
2000-07-25	2	0	2
2000-08-26	2	0	2
2000-09-01	2	0	2
2000-11-21	2	0	2
2001-02-09	2	0	2
2001-03-13	2	0	2
2019-03-11	2	2	0
2021-02-22	2	2	0
2021-03-30	2	2	0
2023-01-09	2	2	0
2023-01-10	2	2	0
2023-04-18	2	2	0
2023-05-17	2	2	0
2023-06-09	2	2	0
2023-07-16	2	2	0
2023-07-23	2	2	0
2023-07-26	2	2	0
2023-08-05	2	2	0
1978-08-07	1	0	1
1982-04-04	1	0	1
1982-08-12	1	0	1
1982-08-18	1	0	1
1982-08-26	1	0	1
1982-11-05	1	0	1
1982-11-19	1	0	1
1982-12-05	1	0	1
1982-12-08	1	0	1
1982-12-15	1	0	1
1982-12-17	1	0	1
1982-12-22	1	0	1
1983-01-05	1	0	1
1983-02-01	1	0	1
1983-02-04	1	0	1
1983-02-11	1	0	1
1983-02-17	1	0	1
1983-02-23	1	0	1
1983-02-25	1	0	1
1983-03-09	1	0	1
1983-03-21	1	0	1
1983-03-28	1	0	1
1983-04-11	1	0	1
1983-04-14	1	0	1
1983-05-03	1	0	1
1983-05-06	1	0	1
1983-05-10	1	0	1
1983-05-12	1	0	1
1983-05-17	1	0	1
1983-05-18	1	0	1
1983-05-27	1	0	1
1983-06-01	1	0	1
1983-06-02	1	0	1
1983-06-12	1	0	1
1983-06-15	1	0	1
1983-06-18	1	0	1
1983-06-20	1	0	1
1983-06-24	1	0	1
1983-07-04	1	0	1
1983-07-06	1	0	1
1983-07-16	1	0	1
1983-07-19	1	0	1
1983-07-27	1	0	1
1983-07-31	1	0	1
1983-08-02	1	0	1
1983-08-03	1	0	1
1983-08-10	1	0	1
1983-08-12	1	0	1
1983-08-15	1	0	1
1983-08-25	1	0	1
1983-08-30	1	0	1
1983-08-31	1	0	1
1983-09-02	1	0	1
1983-09-15	1	0	1
1983-09-19	1	0	1
1983-09-30	1	0	1
1983-10-12	1	0	1
1983-10-31	1	0	1
1983-11-03	1	0	1
1983-11-15	1	0	1
1983-11-16	1	0	1
1983-11-23	1	0	1
1983-12-16	1	0	1
1983-12-20	1	0	1
1983-12-29	1	0	1
1984-01-18	1	0	1
1984-01-20	1	0	1
1984-01-26	1	0	1
1984-01-31	1	0	1
1984-02-29	1	0	1
1984-04-12	1	0	1
1984-04-13	1	0	1
1984-04-18	1	0	1
1984-04-20	1	0	1
1984-04-23	1	0	1
1984-05-02	1	0	1
1984-05-08	1	0	1
1984-05-10	1	0	1
1984-05-15	1	0	1
1984-05-21	1	0	1
1984-06-15	1	0	1
1984-06-22	1	0	1
1984-09-13	1	0	1
1987-02-23	1	0	1
1987-03-09	1	0	1
1987-03-25	1	0	1
1987-05-01	1	0	1
1987-12-16	1	0	1
1988-04-29	1	0	1
1988-05-20	1	1	0
1988-06-04	1	0	1
1988-10-13	1	0	1
1989-02-05	1	1	0
1989-03-03	1	0	1
1989-05-25	1	1	0
1989-06-01	1	0	1
1989-06-02	1	0	1
1989-10-20	1	0	1
1989-12-24	1	0	1
1990-01-12	1	0	1
1990-02-02	1	1	0
1990-03-30	1	0	1
1990-04-27	1	1	0
1990-04-28	1	1	0
1990-05-08	1	1	0
1990-05-15	1	1	0
1990-05-22	1	0	1
1990-06-04	1	0	1
1990-07-03	1	1	0
1990-07-09	1	0	1
1990-09-26	1	0	1
1990-11-07	1	0	1
1990-11-12	1	0	1
1991-01-23	1	0	1
1991-01-30	1	0	1
1991-03-18	1	0	1
1991-05-02	1	0	1
1991-05-03	1	0	1
1991-05-15	1	0	1
1991-05-20	1	0	1
1991-07-03	1	0	1
1991-07-16	1	0	1
1991-08-02	1	0	1
1991-09-06	1	0	1
1991-10-01	1	0	1
1991-11-02	1	0	1
1991-11-15	1	0	1
1991-11-20	1	0	1
1991-12-19	1	1	0
1992-04-03	1	0	1
1992-05-08	1	0	1
1992-05-26	1	0	1
1992-05-29	1	0	1
1992-06-22	1	0	1
1992-07-02	1	0	1
1992-08-11	1	0	1
1992-08-21	1	1	0
1992-08-24	1	1	0
1992-08-28	1	0	1
1992-09-02	1	0	1
1992-09-16	1	0	1
1992-09-29	1	0	1
1992-10-06	1	0	1
1992-10-13	1	0	1
1992-10-28	1	0	1
1992-11-05	1	0	1
1992-11-10	1	0	1
1992-11-26	1	0	1
1992-12-04	1	0	1
1992-12-11	1	0	1
1992-12-15	1	0	1
1993-01-10	1	0	1
1993-01-19	1	0	1
1993-02-15	1	0	1
1993-03-03	1	0	1
1993-03-19	1	0	1
1993-04-01	1	0	1
1993-04-11	1	0	1
1993-04-12	1	0	1
1993-04-21	1	0	1
1993-04-22	1	0	1
1993-05-07	1	0	1
1993-05-11	1	0	1
1993-05-13	1	0	1
1993-05-19	1	0	1
1993-06-16	1	1	0
1993-06-21	1	0	1
1993-06-22	1	0	1
1993-06-30	1	1	0
1993-07-09	1	1	0
1993-07-12	1	0	1
1993-07-20	1	0	1
1993-07-22	1	0	1
1993-08-01	1	0	1
1993-08-02	1	0	1
1993-08-06	1	0	1
1993-08-18	1	0	1
1993-08-19	1	0	1
1993-08-23	1	0	1
1993-09-13	1	0	1
1993-09-24	1	1	0
1993-09-27	1	0	1
1993-10-01	1	0	1
1993-10-04	1	0	1
1993-10-06	1	0	1
1993-10-11	1	0	1
1993-10-12	1	0	1
1993-10-13	1	0	1
1993-10-19	1	1	0
1993-10-21	1	0	1
1993-10-26	1	0	1
1993-11-10	1	0	1
1993-11-12	1	0	1
1993-11-23	1	0	1
1993-12-03	1	0	1
1993-12-09	1	0	1
1993-12-17	1	0	1
1993-12-24	1	0	1
1994-01-18	1	0	1
1994-02-04	1	0	1
1994-02-22	1	0	1
1994-03-07	1	0	1
1994-03-21	1	0	1
1994-04-08	1	0	1
1994-04-14	1	0	1
1994-05-24	1	0	1
1994-06-14	1	0	1
1994-06-21	1	0	1
1994-07-04	1	0	1
1994-07-13	1	0	1
1994-07-22	1	0	1
1994-07-27	1	0	1
1994-08-02	1	0	1
1994-08-08	1	0	1
1994-08-09	1	0	1
1994-08-25	1	0	1
1994-09-04	1	0	1
1994-09-05	1	0	1
1994-09-06	1	0	1
1994-09-14	1	0	1
1994-09-15	1	0	1
1994-09-23	1	0	1
1994-09-26	1	0	1
1994-10-06	1	0	1
1994-10-12	1	0	1
1994-10-14	1	0	1
1994-10-28	1	0	1
1994-11-14	1	0	1
1994-11-23	1	0	1
1994-12-08	1	0	1
1994-12-21	1	0	1
1995-01-13	1	0	1
1995-01-16	1	0	1
1995-02-14	1	0	1
1995-02-22	1	0	1
1995-02-23	1	0	1
1995-03-20	1	0	1
1995-03-22	1	0	1
