tag	total	roms	images
NA - Disc 1 - Un-Working Designs Patch by Supper	2	2	0
NA - Disc 2 - Un-Working Designs Patch by Supper	2	2	0
NA - Disc 1 - Font Hack Patch by GreenGoblin	1	1	0
NA - Disc 1 - True Analogs Patch by VanLaser, Rev 1.52	1	1	0
NA - Disc 1 - True Analogs Patch by VanLaser, Rev 1.52 With Undub Patch by Swosho, Rev 1.1b	1	1	0
NA - Disc 1 - Undub Patch	1	1	0
NA - Disc 1 - Undub Patch by Etsuna, Rev 2	1	1	0
NA - Disc 1 - Undub Patch by Mugi	1	1	0
NA - Disc 1 - Undub Patch by NKS	1	1	0
NA - Disc 1 - Undub Patch by RyleFury, Rev 1.01	1	1	0
NA - Disc 2 - Font Hack Patch by GreenGoblin	1	1	0
NA - Disc 2 - True Analogs Patch by VanLaser, Rev 1.52	1	1	0
NA - Disc 2 - True Analogs Patch by VanLaser, Rev 1.52 With Undub Patch by Swosho, Rev 1.1b	1	1	0
NA - Disc 2 - Undub Patch	1	1	0
NA - Disc 2 - Undub Patch by Etsuna, Rev 2	1	1	0
NA - Disc 2 - Undub Patch by Mugi	1	1	0
NA - Disc 2 - Undub Patch by NKS	1	1	0
NA - Disc 2 - Undub Patch by RyleFury, Rev 1.01	1	1	0
NA - Disc 3 - Un-Working Designs Patch by Supper	1	1	0
