tag	total	roms	images
Disc 1 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 1 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	1	1	0
Disc 1 - English Translated by Arjak and MossstarMoon	1	1	0
Disc 1 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 1 - English Translated by Hilltop	1	1	0
Disc 1 - English Translated by In the Rose Garden, Rev 1.04	1	1	0
Disc 1 - English Translated by JunkerHQ	1	1	0
Disc 1 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 1 - English Translated by Load Word Team, Rev 1.1	1	1	0
Disc 1 - English Translated by NoOneee	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	1	1	0
Disc 1 - English Translated by SnowyAria	1	1	0
Disc 1 - English Translated by TrekkiesUnite118, Rev 1.1.1	1	1	0
Disc 1 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 2 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 2 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	1	1	0
Disc 2 - English Translated by Arjak and MossstarMoon	1	1	0
Disc 2 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 2 - English Translated by Hilltop	1	1	0
Disc 2 - English Translated by In the Rose Garden, Rev 1.04	1	1	0
Disc 2 - English Translated by JunkerHQ	1	1	0
Disc 2 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 2 - English Translated by Load Word Team, Rev 1.1	1	1	0
Disc 2 - English Translated by NoOneee	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	1	1	0
Disc 2 - English Translated by SnowyAria	1	1	0
Disc 2 - English Translated by TrekkiesUnite118, Rev 1.1.1	1	1	0
Disc 2 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 3 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 3 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 3 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 3 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 3 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 4 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 5 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 6 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 7 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 8 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
