tag	total	roms	images
Hack	17	16	1
Character Unlock Patch by Gallaux - NA	9	9	0
hack	5	5	0
Audio Fix Patch by Justin Gibbins - NA	3	3	0
NA - Flash Removal Patch by Privateye	3	3	0
Audio Fix Patch by Justin Gibbins - JP	2	2	0
Audio Remaster Patch by Dark City Productions - JP	2	2	0
DS Cheat Cartridge	2	0	2
JP - Flash Removal Patch by Privateye	2	2	0
Un-Worked Design Patch by Supper - NA	2	2	0
320×240 Video Output Patch by Fluvian - JP	1	1	0
4 Player Co-Op Patch by Gallaux - EU	1	1	0
4 Player Patch by Gallaux - NA	1	1	0
All Characters Unlocked and Easier Difficulty Patch, Rev 2, by BillyTime! Games - NA	1	1	0
All Extras and Megatron X Unlocked Patch by Astolfo2001 - JP	1	1	0
All Unlocks Patch by Gallaux - NA, Rev 2	1	1	0
Arcade Colors and 9 Lives Patch, Rev 2, by SCD - JP	1	1	0
Audio Fix Patch, Rev 20201702, by Riggles - NA	1	1	0
Audio Remaster and Music Mashup Patch by Dark City Productions - JP	1	1	0
Background Scrolling Patch by Diogo Ribeiro - NA	1	1	0
Bonus Levels Patch by Gallaux - NA	1	1	0
Brightness Patch by Linkuei - NA, Rev 1	1	1	0
Bug Fix Patch, Rev 1.2, by Ozidual - NA, Rev 1	1	1	0
Camera Control Patch by AnimaC13 - NA, Rev 2	1	1	0
Character Unlock Patch by Gallaux - NA, Rev 2	1	1	0
Character Unlock Patch, Rev 1.1, by Gallaux - NA	1	1	0
Character Unlock and Extra Options Patch by Gallaux - EU	1	1	0
Compilation Pack Patch, Rev 1.1, by Wreck - NA	1	1	0
Complete Edition Patch, Unstripped Version, by Sylandro - NA	1	1	0
EU - 4-in-1 Hack Patch by Meduza Team, Rev 1.5	1	1	0
EU - 4-in-1 Hack Patch by Meduza Team, Rev 1.5 - NDS Style Version	1	1	0
EU - 60Hz Hack Patch by NoelleAmelie, Rev 1.0a	1	1	0
EU - Flash Removal Patch by Privateye	1	1	0
Ending Fix Patch - EU	1	1	0
Everything Unlocked Patch by Triclon - NA	1	1	0
FM Music Patch - NA	1	1	0
FM Sound Patch, Rev 1.2 - NA	1	1	0
Faster Walking Speed Patch by Diogo Ribeiro - NA	1	1	0
Frame Rate Improvement and 6 Button Patch by Ti - NA	1	1	0
Freem Edition Patch, Rev 2023-07-30, by Freem and Friends - JP	1	1	0
JP - 4MB Hack Patch by YZB, Rev 2020-05-31	1	1	0
JP - 4MB Hack Patch by YZB, Rev 2020-06-07	1	1	0
JP - 4MB Hack Patch by YZB, Rev 2020-08-24	1	1	0
JP - 4MB Hack Patch by YZB, Rev 2022-08-01	1	1	0
JP - Eurobeat Mix Patch by Mr357	1	1	0
JP - Quality of Life Improvements Patch by Privateye	1	1	0
JP, Rev B - Quality of Life Improvements Patch by Privateye	1	1	0
Lines Mode Unlock Patch by Gallaux - NA	1	1	0
Mario Builder 64 Patch by Arthurtilly and Rovertronic - NA	1	1	0
NA - Audio Improvements Patch by Riggles, Rev 2	1	1	0
NA - Fix Patch by Authorfafling, Rev 0.3	1	1	0
NA - QoL Patch, Rev 1.1 With Music Pitch Fix by Paul_met	1	1	0
NA - Quality of Life Improvements Patch by Privateye	1	1	0
NA - Quality of Life Improvements Patch by Privateye, Rev 1.1	1	1	0
NA - Sound Canvas Patch by Shadowmask	1	1	0
NA - Un-Working Designs Patch by Supper, Rev 0	1	1	0
No Mercy Plus Patch, Rev 2.1, by Retro Randy Price - NA, Rev 1	1	1	0
Prototype - Bug Fix Patch by Zoinkity	1	1	0
Prototype - Dinomod Enhanced Patch, Rev 05-02-2023, by Ren Fuchsfein	1	1	0
Prototype - Improvements Patch by lancuster	1	1	0
R-Type Plus Patch by Justin Gibbins - NA	1	1	0
Reduced Lag Patch by Nintendo 64 Wizard - NA	1	1	0
Redux Patch, Rev 2, by Maroc - NA	1	1	0
Redux Patch, Rev 2.2, by Maroc	1	1	0
Rocket Shuts the Hell Up Patch, Rev 420.69a, by Logan Derbin - NA	1	1	0
Smash Remix Patch, Rev 1.5, by The_Smashfather - NA	1	1	0
Spaceworld '97 Beta Experience Patch by Zel	1	1	0
Sprite Improvement Patch, Rev 1.1, by Poody	1	1	0
StarStruck Compilation Patch by Ok Impala! - NA	1	1	0
Start Hack	1	1	0
Un-Worked Design Patch by Supper With 1-4th Encounter Rate Patch, Rev 1.1, by Insane - NA	1	1	0
Un-Worked Design Patch, Rev 2, by Studio Lucia - NA	1	1	0
Uncensored Patch by DarkMadman_69 - NA	1	1	0
WCW Saturday Night Patch, Rev 8-15-23, by GMSpectre1 - NA	1	1	0
WrestleMania X 64 Patch by GMSpectre1 - NA	1	1	0
hack 1	1	1	0
hack 2	1	1	0
xbox hack	1	1	0
