tag	total	roms	images
En	2881	673	2208
En,Fr,De,Es,It	932	10	922
En,Fr,De	414	7	407
En,Fr,De,Es,It,Nl	251	0	251
En,Ja	220	12	208
En,Fr,De,Es	197	7	190
En,Fr	129	17	112
En,Fr,Es	119	4	115
En,Fr,De,It	71	2	69
En,De	47	0	47
En,Fr,De,Es,It,Sv	46	2	44
En,Es	44	4	40
En,Fr,De,Es,It,Nl,Sv	43	0	43
En,Ja,Fr,De,Es,It	42	0	42
En,Es,It	38	0	38
En,Fr,De,Es,It,Pt	35	0	35
En,Fr,De,Es,It,Nl,Pt,Sv	30	2	28
En,Fr,De,Nl	26	0	26
Fr,De	26	0	26
En,Fr,Es,It	22	0	22
En,Fr,De,Es,It,Nl,Sv,Da	20	0	20
Es,It	20	0	20
En,Ja,Fr,De	15	0	15
En,Fr,De,Es,Nl,Sv	13	0	13
En,Ja,Fr,De,Es	13	0	13
En,De,Es,Nl,Sv	12	0	12
En,Fr,De,Es,It,Nl,Sv,No,Da,Fi	12	0	12
En,Fr,De,Es,It,Pt,Sv,No	12	1	11
En,Zh	12	6	6
Fr,Nl	12	0	12
En,De,Es,It	11	0	11
En,Fr,De,Es,It,Nl,Pt	11	0	11
En,Fr,De,Es,Sv	11	0	11
En,Fr,De,Es,It,Nl,Da	10	0	10
En,Fr,De,Es,Nl	10	0	10
En,Fr,It	10	0	10
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da	8	0	8
En,Ru	8	0	8
En,Fr,De,Es,It,Nl,Pt,Da	7	0	7
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi	7	0	7
En,It	7	0	7
En,Nl	7	0	7
Es,It,Pt	7	0	7
Fr,De,Nl	7	0	7
En,De,Es	6	1	5
En,Fr,De,It,Nl	6	0	6
En,Ja,Es	6	2	4
En,Ja,Fr	6	0	6
En,Pl	6	6	0
Fr,De,Es,It	6	0	6
Fr,Es,It	6	0	6
En,Es,Nl,Sv	5	0	5
En,Fr,Nl	5	1	4
Ru	5	5	0
En,Fi	4	0	4
En,Fr,De,Es,It,Fi	4	0	4
En,Fr,De,Es,Pt	4	0	4
En,Fr,De,Sv	4	0	4
En,Fr,Es,Nl,Pt,Pl	4	2	2
En,Fr,Es,Pt	4	0	4
En,Ja,Es,Pt	4	0	4
En,Ja,Fr,De,Es,It,Nl,Pt	4	0	4
En,Sv,Fi	4	0	4
Es,Pt	4	0	4
Fr,De,Es	4	0	4
Ja,Zh	4	0	4
Zh	4	4	0
En,De,It	3	0	3
En,Es,Pt,Sv,Da	3	0	3
En,Fr,De,Da	3	0	3
En,Fr,De,Es,It,Da	3	0	3
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl	3	0	3
En,Fr,De,Es,It,Sv,No	3	0	3
En,Fr,De,Es,It,Sv,No,Da,Fi	3	0	3
En,Fr,De,Es,Nl,Sv,Da	3	0	3
En,Fr,Es,Nl	3	0	3
En,Ja,Fr,De,Es,It,Pt,Ko,Ru,Ar	3	0	3
En,Ja,Zh	3	1	2
En,Ar	2	2	0
En,De,Sv	2	0	2
En,Es,It,Sv	2	0	2
En,Es,Nl	2	0	2
En,Es,Pt	2	0	2
En,Es,Sv	2	0	2
En,Fr,De,Es,Fi	2	0	2
En,Fr,De,Es,It,Nl,Ca	2	0	2
En,Fr,De,Es,It,Nl,Sv,No,Da	2	0	2
En,Fr,De,It,Sv,No,Da,Fi	2	0	2
En,Fr,Es,It,Sv	2	0	2
En,Ko	2	0	2
En,Nl,Da	2	0	2
En,Nl,Sv	2	0	2
En,Sv	2	0	2
En,Sv,Da,Fi	2	1	1
En,Sv,No,Da,Fi	2	0	2
Fr,Cs	2	0	2
Fr,De,It	2	0	2
Fr,Es,It,Pt	2	0	2
Ko	2	0	2
Nl,Pt	2	0	2
Pl	2	2	0
Sv	2	2	0
Sv,No,Da,Fi	2	0	2
Yi	2	1	1
Da,Fi	1	0	1
De,Es,It	1	0	1
De,Es,It,Pt	1	0	1
De,Nl	1	0	1
En,Da,Pl	1	0	1
En,De,Es,Nl	1	0	1
En,De,It,Nl	1	0	1
En,De,Nl	1	0	1
En,De,Sv,Fi	1	0	1
