tag	total	roms	images
SGB Enhanced	743	0	743
GB Compatible	587	0	587
J1	295	295	0
by $olo1870	140	140	0
2M	137	0	137
Program	103	79	24
1M	88	0	88
NP	78	0	78
Early Days Collection	59	0	59
Major Wave	51	0	51
Shokai Genteiban	49	0	49
Namcot Collection	42	21	21
EDC	40	0	40
3M	37	0	37
Mega Drive 4	34	0	34
Rumble Version	33	0	33
Whirlwind Manu	32	19	13
Family BASIC	31	19	12
Kaiser	31	20	11
RE	31	0	31
Controller Set	30	0	30
FBX	30	30	0
R	30	22	8
b	30	1	29
AES	28	28	0
Unknown	28	11	17
Genteiban	26	0	26
Possible Proto	25	2	23
Rerelease	24	0	24
4M	23	0	23
Castlevania Anniversary Collection	23	8	15
Tengen	23	9	14
Test Program	23	11	12
FamicomBox	22	11	11
Retro-Bit	22	0	22
72 pin cart	21	17	4
Capcom Town	21	4	17
NTSC	21	16	5
10M	20	0	20
Byte-Off 2019	20	20	0
Piko Interactive	20	1	19
Trade Demo	20	0	20
Atari Flashback	19	19	0
Contra Anniversary Collection	18	4	14
Culture Publishers	18	0	18
Namcot Collection, Namco Museum Archives Vol 1	18	9	9
The Cowabunga Collection	18	7	11
Animal Crossing	17	0	17
Music Program	16	16	0
Othello Multivision	16	0	16
2S	15	0	15
Alt 2	15	2	13
Collection of Mana	15	0	15
QUByte Classics	15	0	15
Taikenban	15	0	15
Waixing	15	11	4
1S	14	0	14
CGB+SGB Enhanced	14	0	14
FABT	14	0	14
Hummer Team	14	5	9
Netcard	14	0	14
Premium Box	14	0	14
f	14	14	0
4S	13	0	13
Debug	13	0	13
Digital	13	9	4
SGB Enhanced, GB Compatible	13	0	13
Super Game	13	7	6
Castlevania Advance Collection	12	0	12
Idea-Tek	12	10	2
Ka Sheng	12	8	4
Konami Collector's Series	12	6	6
Mega Man Legacy Collection	12	6	6
NESDev Compo 2016	12	12	0
Namco Museum Archives Vol 2	12	6	6
RE-1	12	0	12
SC-3000	12	0	12
Sega CD 32X	12	0	12
The Disney Afternoon Collection	12	6	6
3S	11	0	11
Enhancement Chip	11	0	11
Marvel MaXimum Collection	11	0	11
Sly Dog Studios	11	11	0
Special Disc	11	0	11
11M	10	0	10
Alt 1	10	0	10
Atari Anthology	10	0	10
Cowabunga Collection, The	10	0	10
IE Institute	10	0	10
Imagineer	10	0	10
ModRetro Chromatic	10	0	10
NINA-06	10	6	4
NTDEC	10	8	2
Sachen	10	4	6
Subor Keyboard	10	10	0
5M	9	0	9
Auto Demo	9	0	9
Columbus Circle	9	0	9
Mega-CD 32X	9	0	9
Namco	9	4	5
Namcot Collection, Namco Museum Archives Vol 2	9	5	4
Retro-Bit Generations	9	2	7
Robert L Bryant	9	9	0
Shokai Tokutenban	9	0	9
1995	8	4	4
60 pin cart	8	7	1
C&E	8	5	3
Fukyuuban	8	0	8
GDI	8	0	8
J-Cart	8	0	8
Limited Edition	8	2	6
NESDev 2017	8	8	0
NOD	8	0	8
PSone Books	8	0	8
RE2	8	0	8
Sega Ages	8	0	8
The Game	8	0	8
UNROM	8	8	0
sai	8	0	8
set 2	8	8	0
Datach	7	0	7
Deluxe Pack	7	0	7
Game no Kanzume Otokuyou	7	0	7
Made in USA	7	0	7
Mega Soft	7	7	0
Micro Genius	7	7	0
Ocean	7	5	2
SEGA Classic Collection	7	0	7
Track 01	7	7	0
Track 02	7	7	0
Track 03	7	7	0
Track 04	7	7	0
Track 05	7	7	0
Track 06	7	7	0
Track 07	7	7	0
Track 08	7	7	0
Track 09	7	7	0
Track 10	7	7	0
Track 11	7	7	0
by hellboy73	7	7	0
