tag	total	roms	images
Virtual Console	555	138	417
EasyFlash	333	333	0
Evercade	133	0	133
Sega Channel	80	0	80
Wii U Virtual Console	49	4	45
Mega Drive Mini, Genesis Mini	37	0	37
Wii Virtual Console	37	6	31
LodgeNet	31	0	31
Switch	30	6	24
Switch Online	28	1	27
Sega Game Toshokan	26	0	26
GameCube	22	0	22
GameCube Edition	20	20	0
Mega Drive Mini 2, Genesis Mini 2	15	0	15
Virtual Console, Switch Online	15	3	12
Arcade	13	1	12
e-Reader	13	0	13
e-Reader Edition	13	13	0
Intellivision Lives!	11	0	11
PlayStation the Best	11	0	11
Steam	11	1	10
3DS Virtual Console	10	4	6
Atari Lynx Collection 1	9	0	9
Famicom 3D System	8	4	4
Virtual Console, Classic Mini, Switch Online	7	0	7
Toaplan Arcade Garage	6	0	6
Arcade CD-ROM	4	0	4
Arcade Disc	4	0	4
Arcade Mode	4	0	4
Wii and Wii U Virtual Console	4	2	2
Classic Mini, Switch Online	3	0	3
GameCube Preview	3	0	3
PC Engine Mini	3	0	3
3DO Action Pak	2	0	2
GOG	2	0	2
Intellivision	2	2	0
Mega Drive Mini 2, Genesis Mini 2, Toaplan Arcade Garage	2	0	2
USA Wii Virtual Console, Wii U Virtual Console	2	1	1
Arcade Audio	1	0	1
Dreamcast Version	1	1	0
Evercade, GOG	1	0	1
Gamecube	1	0	1
Master System Evolution	1	0	1
Mega Drive Mini	1	0	1
PlayStation the Best for Family	1	0	1
Steam, GOG	1	0	1
Switch, PS Vita	1	0	1
Virtual Console, Classic Mini	1	0	1
Wii U	1	0	1
itch.io	1	1	0
