tag	total	roms	images
NA, Rev 1 - FastROM Hack by Kandowontu	7	7	0
All Unlocks Patch by Gallaux - NA, Rev 2	1	1	0
Brightness Patch by Linkuei - NA, Rev 1	1	1	0
Bug Fix Patch, Rev 1.2, by Ozidual - NA, Rev 1	1	1	0
Camera Control Patch by AnimaC13 - NA, Rev 2	1	1	0
Character Unlock Patch by Gallaux - NA, Rev 2	1	1	0
JP, Rev 1 - FastROM Hack by Kandowontu	1	1	0
JP, Rev B - Quality of Life Improvements Patch by Privateye	1	1	0
NA, Rev 1.1 - True Analogs Patch by VanLaser, Rev 1.52	1	1	0
NA, Rev 1.1 - True Analogs Patch by VanLaser, Rev 1.52 With Undub Patch by Swosho, Rev 1.1b	1	1	0
NA, Rev 1.1 - Tweaks, Localization, and Custom Art Patch by Acediez, Rev 2.6	1	1	0
No Mercy Plus Patch, Rev 2.1, by Retro Randy Price - NA, Rev 1	1	1	0
