tag	total	roms	images
Japan	16688	1491	15197
USA	12143	2216	9927
Europe	7048	387	6661
World	2464	1479	985
NA	2112	2112	0
USA, Europe	1925	40	1885
JP	1676	1676	0
Asia	940	708	232
Germany	748	13	735
France	684	16	668
China	625	482	143
EU	594	594	0
Taiwan	365	7	358
Spain	345	22	323
Italy	308	2	306
Japan, USA	220	22	198
Korea	190	26	164
USA, Europe, Brazil	178	0	178
Brazil	153	9	144
Europe, Brazil	151	0	151
Japan, Asia	151	0	151
Australia	104	24	80
Russia	94	51	43
USA, Brazil	89	2	87
Netherlands	59	0	59
KR	55	55	0
Japan, Europe	53	0	53
Europe, Australia	43	0	43
Japan, Korea	42	0	42
USA, Canada	40	0	40
Fr	33	14	19
Sweden	32	3	29
USA, Australia	29	1	28
BR	25	25	0
PAL	23	17	6
USA, Europe, Korea	20	1	19
USA, Korea	20	0	20
Denmark	19	0	19
UK	18	0	18
Canada	15	1	14
De	15	1	14
Es	15	4	11
Norway	14	0	14
Hong Kong	13	0	13
Japan, Australia	13	0	13
Finland	12	0	12
Europe, Asia	11	6	5
Korean	9	9	0
It	7	0	7
Scandinavia	6	0	6
Argentina	5	0	5
Portugal	5	0	5
Greece	4	0	4
USA, Germany	4	0	4
Belgium	3	0	3
FR	3	3	0
Japan, Brazil	3	0	3
USA, Asia	3	1	2
USA, Japan	3	0	3
Brazil, Spain	2	1	1
Europe, Hong Kong	2	1	1
Europe, Korea	2	0	2
Ireland	2	0	2
Israel	2	0	2
Japan, Europe, Brazil	2	0	2
Japan, USA, Brazil	2	0	2
Kor	2	2	0
japan	2	0	2
Australia, Greece	1	0	1
Brazil, Portugal	1	0	1
DE	1	1	0
Europe, Germany	1	0	1
France, Spain	1	0	1
India	1	0	1
Japan, Europe, Australia	1	0	1
Japan, Europe, Korea	1	0	1
Japan, USA, Korea	1	0	1
Mexico	1	0	1
Peru	1	0	1
US	1	1	0
USA, Europe, Asia	1	0	1
USA, Europe, Australia	1	0	1
USA, Taiwan	1	0	1
