tag	total	roms	images
Rev 1	1486	162	1324
Rev A	214	5	209
Alt	189	50	139
Rev 2	156	12	144
v1.1	153	93	60
v1.0	52	51	1
Rev B	39	4	35
v1.2	36	30	6
Rev 3	27	2	25
v1.3	26	21	5
Rev 4	16	0	16
Alt 2	15	2	13
v1.5	15	13	2
v2.0	15	13	2
v1.01	12	11	1
Alt 1	10	0	10
v1.4	10	8	2
v0.1	9	9	0
Rev 5	8	1	7
v0.01	8	6	2
v0.02	8	7	1
v1.02	8	7	1
v2.73	7	7	0
v3.1c	7	7	0
v5.0	7	4	3
Rev C	6	2	4
v0.04	6	4	2
v03	6	0	6
v1.0.1	6	5	1
v1.00	6	5	1
v1.04	6	6	0
v6.0	6	3	3
Alt2	5	5	0
Alt3	5	5	0
V1.1	5	0	5
v0.03	5	4	1
v0.12	5	5	0
v0.2	5	4	1
Rev 6	4	0	4
v0.23	4	4	0
v0.5	4	4	0
v04	4	0	4
v1.0.0	4	4	0
v2.1	4	2	2
Rev 7	3	0	3
v0.11	3	3	0
v0.13	3	3	0
v0.14	3	3	0
v0.15	3	3	0
v0.16	3	3	0
v0.21	3	3	0
v1.0.2	3	3	0
v1.0.6	3	3	0
v1.03	3	3	0
v1.05	3	3	0
v1.9	3	3	0
v3.0	3	2	1
v3.3	3	0	3
v4.0	3	2	1
v5.1	3	2	1
Rev 1.2	2	1	1
Rev 1.4	2	1	1
Rev 10	2	0	2
Rev 8	2	0	2
V1.00D	2	2	0
V3	2	2	0
v0.06	2	1	1
v0.08	2	2	0
v0.09	2	2	0
v0.1.2	2	1	1
v0.10	2	2	0
v0.17	2	2	0
v0.18	2	2	0
v0.19	2	2	0
v0.1c	2	2	0
v0.20	2	2	0
v0.22	2	2	0
v0.28	2	1	1
v0.29	2	0	2
v0.3	2	1	1
v0.3.4	2	2	0
v0.4	2	2	0
v0.45	2	2	0
v0.46	2	2	0
v0.47	2	2	0
v0.6	2	2	0
v0.60	2	2	0
v0.980	2	2	0
v02	2	2	0
v06	2	0	2
v1.0.3	2	2	0
v1.0.4	2	2	0
v1.0.5	2	2	0
v1.06	2	2	0
v1.1.0	2	2	0
v1.2.0	2	2	0
v1.30	2	2	0
v2.0.0	2	2	0
v2.0.1	2	2	0
v2.01	2	2	0
v2.03	2	2	0
v2.11	2	0	2
v2.110	2	2	0
v2.2	2	1	1
v2.3	2	0	2
v2.6	2	0	2
v3.1	2	0	2
v3.11.088	2	1	1
v3.12.027	2	1	1
v3.6	2	1	1
v5.01.033	2	1	1
v6.02.001	2	1	1
v6.02.002	2	1	1
v6.1	2	1	1
v9.03.128	2	1	1
ALT	1	1	0
Rev 4321	1	0	1
Rev 5C21	1	0	1
Rev D	1	0	1
Rev E	1	1	0
Rev F	1	1	0
Rev H	1	1	0
Revised	1	0	1
Revision	1	0	1
V1.000	1	1	0
V1.5	1	0	1
V1995	1	1	0
V2	1	1	0
V4.0.11	1	1	0
v0.0	1	1	0
v0.00001	1	1	0
v0.03a	1	1	0
v0.05	1	1	0
v0.07	1	1	0
v0.10.0	1	1	0
v0.10.122	1	1	0
v0.161	1	1	0
v0.165	1	1	0
v0.1b	1	1	0
v0.2.1	1	1	0
v0.21b	1	1	0
v0.2a	1	1	0
v0.3.1	1	1	0
v0.3.2	1	1	0
v0.32	1	0	1
v0.35	1	0	1
v0.36	1	0	1
v0.38	1	0	1
v0.39	1	0	1
v0.396	1	1	0
v0.399	1	1	0
v0.3a	1	1	0
v0.4.0	1	1	0
v0.40	1	0	1
v0.41	1	0	1
v0.41B	1	0	1
v0.41C	1	0	1
v0.41D	1	0	1
v0.43	1	1	0
v0.44	1	1	0
v0.44a	1	0	1
v0.5.095	1	1	0
v0.50	1	1	0
v0.51	1	1	0
v0.55	1	1	0
v0.58	1	1	0
v0.61	1	1	0
v0.62	1	1	0
v0.68	1	1	0
v0.7	1	1	0
v0.70	1	1	0
v0.71	1	1	0
v0.80	1	1	0
v0.81	1	1	0
v0.83.0	1	1	0
v0.84	1	1	0
v0.86	1	1	0
v0.9.106	1	1	0
v0.90	1	1	0
v0.92.3	1	1	0
v0.924B	1	1	0
v0.93	1	0	1
v0.93.0	1	1	0
v0.950	1	1	0
v0.99	1	1	0
v0.990	1	1	0
v0.99a	1	1	0
v0.99b	1	1	0
v0.99c	1	1	0
v05	1	0	1
v08	1	0	1
v0B	1	0	1
v1	1	0	1
v1.0.542	1	1	0
v1.00AI	1	0	1
v1.00AU	1	0	1
v1.067	1	0	1
v1.07	1	1	0
v1.07.3	1	1	0
v1.08	1	1	0
v1.08.1	1	1	0
v1.100	1	1	0
v1.15	1	1	0
v1.18b	1	1	0
v1.19	1	1	0
v1.2.1	1	1	0
v1.25	1	1	0
v1.2b	1	1	0
v1.3.0	1	1	0
v1.3e	1	1	0
v1.46	1	1	0
v1.52	1	1	0
v1.7	1	0	1
v10.0	1	0	1
v11.3	1	0	1
v13	1	0	1
v16	1	0	1
v1F	1	0	1
v2.000	1	1	0
v2.013	1	0	1
v2.100	1	1	0
v2.4	1	0	1
v2.83	1	0	1
v3	1	1	0
v3.0.1	1	1	0
v3.0.2	1	1	0
v3.2	1	1	0
v3.5	1	0	1
v32	1	0	1
v4.2	1	0	1
v5	1	1	0
v5.2	1	1	0
v5.3	1	1	0
v7.0	1	0	1
v7.1	1	0	1
v9.0	1	0	1
