tag	total	roms	images
English Translated by Zoinkity	10	10	0
English Translated	9	9	0
English Translated by KingMike's Translations	7	7	0
Translated En	7	0	7
English Translated by AfroJackX, Rev 0.3	6	6	0
English Translated by BlackPaladin	6	6	0
English Translated by Mute	5	5	0
English Translated by Hilltop	4	4	0
English Translated by John Osborne	4	4	0
English Translated, Rev A, by DvD Translations	4	4	0
English Translated by Cabbage	3	3	0
English Translated by Exxistance	3	3	0
English Translated by Hilltop, Rev 1.1	3	3	0
English Translated by Lipemco! Translations	3	3	0
English Translated by Plissken, Rev 1.0.1	3	3	0
English Translated by Psyklax	3	3	0
English Translated by Shining Force III Translation Project, Rev 25.1	3	3	0
English Translated by Stardust Crusaders	3	3	0
English Translated, Rev 1	3	3	0
English Translated, Rev 1.1, by Zoinkity	3	3	0
Un-Worked Design Patch by Lipemco! Translations - NA	3	3	0
English Translated by AgentOrange and MrRichard999	2	2	0
English Translated by Chapu	2	2	0
English Translated by Chapu, Rev 1.1	2	2	0
English Translated by Dave Shadoff, Filler, MooZ, and Diogo Ribeiro	2	2	0
English Translated by Derek Pascarella	2	2	0
English Translated by MZ, Rev 0.01	2	2	0
English Translated by Malenko, Rev 0.91	2	2	0
English Translated by Mr.Nobody	2	2	0
English Translated by Nebulous Translations	2	2	0
English Translated by SnowyAria	2	2	0
English Translated by Spinner 8 and Friends	2	2	0
English Translated by Supper	2	2	0
English Translated, Rev 0.98	2	2	0
English Translated, Rev 0.99, by AgentOrange and Jink640	2	2	0
English Translated, Rev 0.99, by Dave Shadoff	2	2	0
English Translated, Rev 1.01, by Stardust Crusaders	2	2	0
JP - English Translated by Cirosan With The Chilling Cut Patch by Darkanioid1997	2	1	1
Disc 1 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 1 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	1	1	0
Disc 1 - English Translated by Arjak and MossstarMoon	1	1	0
Disc 1 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 1 - English Translated by Hilltop	1	1	0
Disc 1 - English Translated by In the Rose Garden, Rev 1.04	1	1	0
Disc 1 - English Translated by John Osborne, Rev 2 - Subbed Version	1	1	0
Disc 1 - English Translated by JunkerHQ	1	1	0
Disc 1 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 1 - English Translated by Load Word Team, Rev 1.1	1	1	0
Disc 1 - English Translated by NoOneee	1	1	0
Disc 1 - English Translated by Orihara Saki - Beta	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 1 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	1	1	0
Disc 1 - English Translated by SnowyAria	1	1	0
Disc 1 - English Translated by TrekkiesUnite118, Rev 1.1.1	1	1	0
Disc 1 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 1 - Tower of Doom - English Translated by Lirinica	1	1	0
Disc 1 - What's Going On - English Translated by SnowyAria	1	1	0
Disc 2 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 2 - English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.1	1	1	0
Disc 2 - English Translated by Arjak and MossstarMoon	1	1	0
Disc 2 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 2 - English Translated by Hilltop	1	1	0
Disc 2 - English Translated by In the Rose Garden, Rev 1.04	1	1	0
Disc 2 - English Translated by John Osborne, Rev 2 - Subbed Version	1	1	0
Disc 2 - English Translated by JunkerHQ	1	1	0
Disc 2 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 2 - English Translated by Load Word Team, Rev 1.1	1	1	0
Disc 2 - English Translated by NoOneee	1	1	0
Disc 2 - English Translated by Orihara Saki - Beta	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 2 - English Translated by Sakura Wars Translation Project, Rev 2.1.1	1	1	0
Disc 2 - English Translated by SnowyAria	1	1	0
Disc 2 - English Translated by TrekkiesUnite118, Rev 1.1.1	1	1	0
Disc 2 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 2 - Fears Behind - English Translated by SnowyAria	1	1	0
Disc 3 - English Translated by A Murder of Crows and Shadowmask, Rev 0.2j RC	1	1	0
Disc 3 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 3 - English Translated by JunkerHQ, Rev 1.0.1	1	1	0
Disc 3 - English Translated by Sakura Wars Translation Project, Rev 1.1	1	1	0
Disc 3 - English Translated by Zenksren and LostOkina, Rev 1.33	1	1	0
Disc 4 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 5 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 6 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 7 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
Disc 8 - English Translated by Delta-Islands Team, Rev 1.5 Final	1	1	0
English Retranslated and Content Restoration by Krokodyl	1	1	0
English Retranslated and Content Restoration by The SAP Team - Reborn Version, Rev 2	1	1	0
English Retranslated by CoolCatBomberMan, Rev 2 With FastROM Hack by Kandowontu, Rev 1.1	1	1	0
English Retranslated by Rodimus Primal, Rev 1.99 - Namingway Edition	1	1	0
English Retranslated by Rodimus Primal, Rev 3.06 With Bug Fixes, Updated Opera, and Add-Ons - Woolsey Uncensored Edition	1	1	0
English Retranslated by Thirteen 1355, Rev 1.5	1	1	0
English Retranslated by Watercrown Productions, Rev 1.2b With Original Title Screen Music	1	1	0
English Retranslated from GBA Version by J121, Rev 1.16 With Bugfixes and Ginger Battle Galuf Patch, With FastROM Hack by Kandowontu	1	1	0
English Retranslation and Content Restoration by CF, Rev 1.1	1	1	0
English Retranslation and Fixes by Sarah Shinespark, Rev 3 - Seal of Rimsala Version	1	1	0
English Translated With Arabic Numerals by Psyklax	1	1	0
English Translated With Corrected Ending by BlackPaladin	1	1	0
English Translated With Honorifics Patch, Rev 1.1, by Lipemco! Translations	1	1	0
English Translated With PSP Audio Patch, Rev 1.01, by Shortfilms.tk and Burnt Lasagna	1	1	0
English Translated and Content Restoration by Backlog Odyssey, Rev 2	1	1	0
English Translated and Content Restored by FlashPV With FastROM Hack by Kandowontu	1	1	0
English Translated and Uncensored Patch by Darkmoon2321, Rev 1.1	1	1	0
English Translated by Acediez	1	1	0
English Translated by Acediez, Rev 1.3	1	1	0
English Translated by Adventurous Translations, Rev 0.96	1	1	0
English Translated by Aeon Genesis With Epyon Unlocked Patch by CF, Rev 1.1	1	1	0
English Translated by Aeon Genesis With FastROM Hack by Kandowontu, Rev 1.1	1	1	0
English Translated by Aeon Genesis, Rev 0.95b	1	1	0
English Translated by Aeon Genesis, Rev 1.01 With Deluxe Version Patch by BobSchneeder45, Rev 2	1	1	0
English Translated by Aethin, Rev 1.04	1	1	0
English Translated by Aishsha	1	1	0
English Translated by Aishsha, Paul_met, and Pennywise, Rev 1.0.1	1	1	0
English Translated by Aishsha, Paul_met, and Stardust Crusaders, Rev 1.3.1	1	1	0
