tag	category	total	roms	images
Japan	Region	16688	1491	15197
USA	Region	12143	2216	9927
Europe	Region	7048	387	6661
Unl	Unofficial	3321	2203	1118
En	Language	2881	673	2208
World	Region	2464	1479	985
NA	Region	2112	2112	0
Beta	Preview	1990	277	1713
USA, Europe	Region	1925	40	1885
Aftermarket	Unofficial	1911	1829	82
JP	Region	1676	1676	0
Rev 1	Revision	1486	162	1324
Demo	Preview	1196	301	895
Pirate	Unofficial	1196	860	336
Asia	Region	940	708	232
En,Fr,De,Es,It	Language	932	10	922
Disc 1	Disc	865	0	865
Proto	Preview	847	169	678
Disc 2	Disc	838	0	838
Germany	Region	748	13	735
SGB Enhanced	NeedsReview	743	0	743
France	Region	684	16	668
China	Region	625	482	143
EU	Region	594	594	0
GB Compatible	NeedsReview	587	0	587
Virtual Console	Platform	555	138	417
En,Fr,De	Language	414	7	407
Taiwan	Region	365	7	358
Spain	Region	345	22	323
EasyFlash	Platform	333	333	0
Italy	Region	308	2	306
J1	NeedsReview	295	295	0
Beta 1	Preview	291	12	279
Beta 2	Preview	291	13	278
Ja	Language	264	149	115
En,Fr,De,Es,It,Nl	Language	251	0	251
Disc 3	Disc	236	0	236
En,Ja	Language	220	12	208
Japan, USA	Region	220	22	198
Rev A	Revision	214	5	209
En,Fr,De,Es	Language	197	7	190
Korea	Region	190	26	164
Alt	Revision	189	50	139
USA, Europe, Brazil	Region	178	0	178
Rev 2	Revision	156	12	144
Brazil	Region	153	9	144
v1.1	Revision	153	93	60
Europe, Brazil	Region	151	0	151
Japan, Asia	Region	151	0	151
by $olo1870	NeedsReview	140	140	0
2M	NeedsReview	137	0	137
Beta 3	Preview	135	3	132
Evercade	Platform	133	0	133
En,Fr	Language	129	17	112
En,Fr,Es	Language	120	5	115
Disc 4	Disc	117	0	117
Prototype	Preview	116	116	0
NA, Rev 1	Region+Revision	111	111	0
Sample	Preview	110	26	84
Australia	Region	104	24	80
Program	NeedsReview	103	79	24
Russia	Region	94	51	43
NA - FastROM Hack by Kandowontu	HackOrPatchCredit	91	91	0
Beta 4	Preview	89	1	88
USA, Brazil	Region	89	2	87
1M	NeedsReview	88	0	88
Sega Channel	Platform	80	0	80
NP	NeedsReview	78	0	78
Proto 1	Preview	75	10	65
Proto 2	Preview	73	10	63
Beta 5	Preview	72	0	72
En,Fr,De,It	Language	71	2	69
Disk 1	Disc	70	70	0
Disk 2	Disc	70	70	0
NA - Disc 1	Disc+Region	65	65	0
NA - Disc 2	Disc+Region	64	64	0
Beta 6	Preview	62	0	62
Early Days Collection	NeedsReview	59	0	59
Netherlands	Region	59	0	59
KR	Region	55	55	0
Japan, Europe	Region	53	0	53
Beta 7	Preview	52	0	52
v1.0	Revision	52	51	1
Demo 1	Preview	51	14	37
Major Wave	NeedsReview	51	0	51
Demo 2	Preview	50	14	36
Shokai Genteiban	NeedsReview	49	0	49
Wii U Virtual Console	Platform	49	4	45
En,De	Language	47	0	47
Limited Run Games	Label	47	3	44
En,Fr,De,Es,It,Sv	Language	46	2	44
En,Es	Language	44	4	40
En,Fr,De,Es,It,Nl,Sv	Language	43	0	43
Europe, Australia	Region	43	0	43
Beta 8	Preview	42	0	42
En,Ja,Fr,De,Es,It	Language	42	0	42
Japan, Korea	Region	42	0	42
Namcot Collection	NeedsReview	42	21	21
JP, Rev 1	Region+Revision	41	41	0
EDC	NeedsReview	40	0	40
USA, Canada	Region	40	0	40
Beta 9	Preview	39	0	39
Rev B	Revision	39	4	35
En,Es,It	Language	38	0	38
